### Footprint positions - created on Fri 22 Dec 2023 09:37:56 PM PST ###
### Printed by KiCad version 7.0.9-7.0.9~ubuntu22.04.1
## Unit = inches, Angle = deg.
## Side : bottom
# Ref     Val                   Package                                    PosX       PosY       Rot  Side
C9        0.1uF-25V-10%-0603    C_0603_1608Metric                        5.5300    -3.2500    0.0000  bottom
C10       0.1uF-25V-10%-0603    C_0603_1608Metric                        5.7100    -3.3200  180.0000  bottom
C11       22uF-20%-0603         C_0603_1608Metric                        6.1120    -3.6200    0.0000  bottom
C12       1.0uF-25V-10%-0603    C_0603_1608Metric                        6.7700    -3.8300    0.0000  bottom
C13       1.0uF-25V-10%-0603    C_0603_1608Metric                        7.1900    -3.8600  180.0000  bottom
C14       0.1uF-25V-10%-0603    C_0603_1608Metric                        6.7700    -3.8900    0.0000  bottom
C15       1000pF-50V-5%-0603    C_0603_1608Metric                        6.1800    -3.8750   90.0000  bottom
C16       0.1uF-25V-10%-0603    C_0603_1608Metric                        6.1220    -3.8750   90.0000  bottom
C17       2.2uF-10V-10%-0603    C_0603_1608Metric                        6.4840    -3.9010    0.0000  bottom
C18       1.0uF-25V-10%-0603    C_0603_1608Metric                        7.1900    -3.9400  180.0000  bottom
C19       0.1uF-25V-10%-0603    C_0603_1608Metric                        6.4840    -3.9610    0.0000  bottom
C20       1000pF-50V-5%-0603    C_0603_1608Metric                        5.9850    -3.9600  180.0000  bottom
C21       1.0uF-25V-10%-0603    C_0603_1608Metric                        6.7695    -3.9800    0.0000  bottom
C22       0.1uF-25V-10%-0603    C_0603_1608Metric                        7.1900    -4.0000  180.0000  bottom
C23       1.0uF-25V-10%-0603    C_0603_1608Metric                        7.1900    -4.0600  180.0000  bottom
C24       1.0uF-25V-10%-0603    C_0603_1608Metric                        6.7700    -4.0600    0.0000  bottom
C25       0.047uF-16V-10%-0603  C_0603_1608Metric                        6.4830    -4.1900  180.0000  bottom
C26       4.7uF-6.3V-10%-0603   C_0603_1608Metric                        6.3060    -4.2000  180.0000  bottom
C27       0.1uF-25V-10%-0603    C_0603_1608Metric                        6.0340    -4.2370  180.0000  bottom
C28       0.1uF-25V-10%-0603    C_0603_1608Metric                        6.3980    -4.3230  -90.0000  bottom
C29       0.01uF-50V-10%-0603   C_0603_1608Metric                        6.3380    -4.3230  -90.0000  bottom
C30       1.0uF-25V-10%-0603    C_0603_1608Metric                        6.2780    -4.3230  -90.0000  bottom
C31       0.1uF-25V-10%-0603    C_0603_1608Metric                        6.2180    -4.3230  -90.0000  bottom
C32       0.47uF-10V-10%-0603   C_0603_1608Metric                        6.8950    -4.4700  -90.0000  bottom
C33       0.1uF-25V-10%-0603    C_0603_1608Metric                        6.8000    -4.4700  -90.0000  bottom
C34       2.2uF-10V-10%-0603    C_0603_1608Metric                        6.7400    -4.4700  -90.0000  bottom
C35       0.1uF-25V-10%-0603    C_0603_1608Metric                        6.6200    -4.4700  -90.0000  bottom
C36       0.1uF-25V-10%-0603    C_0603_1608Metric                        5.9839    -4.4693  -90.0000  bottom
C37       22uF-25V-10%-1210     C_1210_3225Metric                        5.4700    -4.4800  -90.0000  bottom
C38       0.1uF-25V-10%-0603    C_0603_1608Metric                        6.6756    -4.6827    0.0000  bottom
C39       0.1uF-25V-10%-0603    C_0603_1608Metric                        6.9300    -4.8600  180.0000  bottom
C40       0.01uF-50V-10%-0603   C_0603_1608Metric                        6.6500    -4.9200    0.0000  bottom
C41       0.1uF-25V-10%-0603    C_0603_1608Metric                        5.9750    -4.9650   90.0000  bottom
C42       0.1uF-25V-10%-0603    C_0603_1608Metric                        5.6750    -4.9650   90.0000  bottom
Q1        DMP2004K-7            SOT-23                                   7.1400    -4.6550  180.0000  bottom
R11       63.4k-1%-0603         R_0603_1608Metric                        6.3550    -4.0700    0.0000  bottom
R12       10.0k-1%-0603         R_0603_1608Metric                        6.4830    -4.1300  180.0000  bottom
R13       20.0k-1%-0603         R_0603_1608Metric                        5.6000    -4.3700  180.0000  bottom
R14       49.9R-1%-0603         R_0603_1608Metric                        6.6800    -4.4700  -90.0000  bottom
R15       10.0k-1%-0603         R_0603_1608Metric                        7.2550    -4.6550   90.0000  bottom
R16       1.0k-1%-0603          R_0603_1608Metric                        6.9300    -4.8000    0.0000  bottom
R17       1.0k-1%-0603          R_0603_1608Metric                        6.6500    -4.8000    0.0000  bottom
R18       1.0k-1%-0603          R_0603_1608Metric                        6.6500    -4.8600    0.0000  bottom
R19       1.0k-1%-0603          R_0603_1608Metric                        6.9300    -4.9200    0.0000  bottom
R20       100R-1%-0805          R_0805_2012Metric                        5.4100    -4.9400  -90.0000  bottom
R21       10.0k-1%-0603         R_0603_1608Metric                        6.0350    -4.9650   90.0000  bottom
R22       10.0k-1%-0603         R_0603_1608Metric                        5.9150    -4.9650  -90.0000  bottom
R23       10.0k-1%-0603         R_0603_1608Metric                        5.7350    -4.9650  -90.0000  bottom
R24       10.0k-1%-0603         R_0603_1608Metric                        5.6150    -4.9650   90.0000  bottom
U12       IAM-20680HP           LGA-16_3x3mm_P0.5mm_LayoutBorder3x5y     6.8200    -4.3300    0.0000  bottom
## End
