Item, Qty, Reference(s), Value, DIST, DIST P/N, MFG, MFG P/N, 
"1","2","C1,C2","0.1uF-10%-50V-0603","","","Samsung Electro-Mechanics","CL10B104KB8NNNC"
"2","9","D1,D2,D3,D4,D5,D6,D7,D8,D9","PWR,CAN0,ETH,PC,CAN1,HD,USR,CAN2,CPU","Digikey","1497-1183-1-ND","SunLED","XZMDKVG55W-8"
"3","1","D10","PESD1CAN","","","Nexperia","PESD1CAN,215"
"4","1","J1","CAN-NX","Digikey","WM4802-ND","Molex","0705430003"
"5","1","J2","NX Expansion","Digikey","952-3218-ND","Harwin","M20-7812045"
"6","1","J3","NX-BUTTON","Digikey","WM4805-ND","Molex","0705430006"
"7","1","J4","CONSOLE","Digikey","WM4165-ND","Molex","0705550002"
"8","2","J5,J6","CAN-PT-NX,CAN-NX","Digikey","WM4164-ND","Molex","0705550001"
"9","3","LP1,LP2,LP3","Lumex-3x-Light-Pipe","Digikey","67-1851-ND","Lumex","LPF-C013301S"
"10","14","Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14","BSS138W","Digikey","BSS138WCT-ND","onsemi","BSS138W"
"11","29","R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,R23,R24,R25,R26,R27,R28,R29","10k-1%-0603,499R-1%-0603","Digikey","","",""
"12","2","SW1,SW2","RESET,RECOVERY","Digikey","EG2507-ND","E-Switch","TL1105VF100Q"
"13","1","U1","MCP2542FDT-E/SN","Digikey","MCP2542FDT-E/SNCT-ND","Microchip","MCP2542FDT-E/SN"
