"Item","QUANTITY","Reference","Value","MFG","MFG P/N","DIST","DIST P/N"
"1","1","C5","330uF-35V-20%-10mm","Rubycon","35PZJ330M10X9","Digikey","1189-35PZJ330M10X9-ND"
"2","1","C26","0.047uF-16V-10%-0603","Kemet","C0603C473K4RAC7867","Digikey","399-C0603C473K4RAC7867CT-ND"
"3","1","C27","4.7uF-6.3V-10%-0603","Samsung Electro-Mechanics","CL10B475KQ8NQNC","Digikey","1276-2087-1-ND"
"4","1","C33","0.47uF-10V-10%-0603","Samsung Electro-Mechanics","CL10B474KP8NNNC","Digikey","1276-1247-1-ND"
"5","3","C1,C6,C8","10uF-10%-10V-0805","Kemet","C0805C106K8PAC7800","Digikey","399-C0805C106K8PAC7800CT-ND"
"6","7","C12,C14,C19,C22,C24,C25,C31","1.0uF-25V-10%-0603","Samsung Electro-Mechanics","CL10B105KA8NNNC","Digikey","1276-1184-1-ND"
"7","2","C15,C21","1000pF-50V-5%-0603","Murata Electronics","GRM1885C1H102JA01D","Digikey","490-1451-1-ND"
"8","2","C18,C35","2.2uF-10V-10%-0603","Murata Electronics","GRM188R71A225KE15J","Digikey","490-6418-1-ND"
"9","2","C2,C11","22uF-20%-0603","TDK","C1608X5R1A226M080AC","Digikey","445-9077-1-ND"
"10","2","C3,C38","22uF-25V-10%-1210","Samsung Electro-Mechanics","CL32A226KAJNNWE","Digikey","1276-3369-1-ND"
"11","2","C30,C43","0.01uF-50V-10%-0603","TDK Corporation","CGA3E2X7R1H103K080AA","Digikey","445-5662-1-ND"
"12","18","C4,C7,C9,C10,C13,C16,C17,C20,C23,C28,C29,C32,C34,C36,C37,C39,C40,C44","0.1uF-25V-10%-0603","Kyocera AVX","KGM15BR71E104KM","Digikey","478-KGM15BR71E104KMCT-ND"
"13","2","C41,C42","0.1uF-25V-10%-1206","KEMET","C1206C104K3RAC7800","Digikey","399-C1206C104K3RAC7800CT-ND"
"14","1","D1","15V","Littelfuse","SZ1SMB15CAT3G","Digikey","F11544CT-ND"
"15","3","D2,D4,D5","PMEG3020EP,115","Nexperia","PMEG3020EP,115","Digikey","1727-5836-1-ND"
"16","3","D3,D6,D7","-- mixed values --","SUN LED","XZMDKVG55W-4","Digikey","1497-1314-1-ND"
"17","1","J2","Power","Wago","2604-3102","Digikey","2946-2604-3102-ND"
"18","1","J3","USB_B","TE Connectivity","5787834-2","Digikey","A121598-ND"
"19","1","J6","SWD","CNC Tech","3220-14-0300-00","Digikey","1175-1632-ND"
"20","2","J1,J4","CAN-FD","Molex","0705410001","Digikey","WM14047-ND"
"21","2","J5,J7","-- mixed values --","Molex","70541-0002","Digikey","WM7991-ND"
"22","1","L1","2.2uH-20%-46mR","Vishay","IHLP1212BZER2R2M11","Digikey","541-1322-1-ND"
"23","1","L2","8.2uH-20%-55mR","Vishay","IHLP2525CZER8R2M1A","Digikey","541-IHLP2525CZER8R2M1ACT-ND"
"24","1","Q1","DMP2004K-7","Diodes Inc","DMP2004K-7","Digikey","DMP2004KDICT-ND"
"25","1","R14","49.9R-1%-0603","Yageo","RC0603FR-0749R9L","Digikey","311-49.9HRCT-ND"
"26","10","R1,R6,R7,R9,R10,R12,R15,R16,R22,R24","10.0k-1%-0603","Yageo","RC0603FR-0710KP","Digikey","YAG1290CT-ND"
"27","4","R17,R18,R20,R21","1.0k-1%-0603","Yageo","RC0603FR-071KL","Digikey","311-1.00KHRCT-ND"
"28","3","R19,R23,R25","100R-1%-0805","Yageo","RC0805FR-07100RL","Digikey","311-100CRCT-ND"
"29","2","R2,R4","0R-0805","Yageo","RC0805JR-070RL","Digikey","311-0.0ARCT-ND"
"30","2","R3,R26","249R-1%-0805","Yageo","RC0805FR-07249RL","Digikey","311-249CRCT-ND"
"31","2","R5,R11","63.4k-1%-0603","Yageo","RC0603FR-0763K4L","Digikey","311-63.4KHRCT-ND"
"32","2","R8,R13","20.0k-1%-0603","Yageo","RC0603FR-0720KL","Digikey","311-20.0KHRCT-ND"
"33","2","SW1,SW2","-- mixed values --","E-Switch","TL3301AF260QG","Digikey","EG2527CT-ND"
"34","1","U1","MCP2542FDT-E/SN","Microchip","MCP2542FDT-E/SN","Digikey","MCP2542FDT-E/SNCT-ND"
"35","1","U2","USBLC6-2SC6","ST Micro","USBLC6-2SC6","Digikey","497-5235-1-ND"
"36","1","U3","TPS613222ADBVR","Texas Instruments","TPS613222ADBVR","Digikey","296-50503-1-ND"
"37","1","U5","SCHA63T-K03","Murata","SCHA63T-K03-05","Digikey","490-SCHA63T-K03-05CT-ND"
"38","1","U6","8MHz-ECS-5032MV","ECS","ECS-5032MV-80-CN-TR","Digikey","XC3116CT-ND"
"39","1","U7","STM32G473RET6","ST Micro","STM32G473RET6","Digikey","497-STM32G473RET6-ND"
"40","1","U8","MCP120T-270I/TT","Microchip","MCP120T-270I/TT","Digikey","MCP120T-270I/TTCT-ND"
"41","1","U9","LMR54410FDBVR","Texas Instruments","LMR54410FDBVR","Digikey","296-LMR54410FDBVRCT-ND"
"42","1","U10","SN74AVC4T245DR","Texas Instruments","SN74AVC4T245DR","Digikey","296-17930-1-ND"
"43","1","U12","IAM-20680HP","TDK","IAM-20680HP","Mouser","410-IAM-20680HP"
"44","1","U13","ISO6720FBDR","Texas Instruments","ISO6720FBDR","Digikey","296-ISO6720FBDRCT-ND"
"45","2","U4,U11","SN74LVC2G04DBVR","Texas Instruments","SN74LVC2G04DBVR","Digikey","296-13261-1-ND"
