### Footprint positions - created on Mon 25 Dec 2023 12:03:21 AM PST ###
### Printed by KiCad version 7.0.9-7.0.9~ubuntu22.04.1
## Unit = inches, Angle = deg.
## Side : bottom
# Ref     Val                   Package                                    PosX       PosY       Rot  Side
C9        0.1uF-25V-10%-0603    C_0603_1608Metric                        5.5300    -3.2500    0.0000  bottom
C10       0.1uF-25V-10%-0603    C_0603_1608Metric                        5.7100    -3.3200  180.0000  bottom
C11       22uF-20%-0603         C_0603_1608Metric                        6.1120    -3.6200    0.0000  bottom
C12       1.0uF-25V-10%-0603    C_0603_1608Metric                        6.7700    -3.8300    0.0000  bottom
C13       0.1uF-25V-10%-0603    C_0603_1608Metric                        5.7250    -3.8550    0.0000  bottom
C14       1.0uF-25V-10%-0603    C_0603_1608Metric                        7.1900    -3.8600  180.0000  bottom
C15       1000pF-50V-5%-0603    C_0603_1608Metric                        6.1800    -3.8750   90.0000  bottom
C16       0.1uF-25V-10%-0603    C_0603_1608Metric                        6.1220    -3.8750   90.0000  bottom
C17       0.1uF-25V-10%-0603    C_0603_1608Metric                        6.7700    -3.8900    0.0000  bottom
C18       2.2uF-10V-10%-0603    C_0603_1608Metric                        6.4840    -3.9010    0.0000  bottom
C19       1.0uF-25V-10%-0603    C_0603_1608Metric                        7.1900    -3.9400  180.0000  bottom
C20       0.1uF-25V-10%-0603    C_0603_1608Metric                        6.4840    -3.9610    0.0000  bottom
C21       1000pF-50V-5%-0603    C_0603_1608Metric                        5.9850    -3.9600  180.0000  bottom
C22       1.0uF-25V-10%-0603    C_0603_1608Metric                        6.7695    -3.9800    0.0000  bottom
C23       0.1uF-25V-10%-0603    C_0603_1608Metric                        7.1900    -4.0000  180.0000  bottom
C24       1.0uF-25V-10%-0603    C_0603_1608Metric                        7.1900    -4.0600  180.0000  bottom
C25       1.0uF-25V-10%-0603    C_0603_1608Metric                        6.7700    -4.0600    0.0000  bottom
C26       0.047uF-16V-10%-0603  C_0603_1608Metric                        6.4830    -4.1900  180.0000  bottom
C27       4.7uF-6.3V-10%-0603   C_0603_1608Metric                        6.3060    -4.2000  180.0000  bottom
C28       0.1uF-25V-10%-0603    C_0603_1608Metric                        6.0340    -4.2370  180.0000  bottom
C29       0.1uF-25V-10%-0603    C_0603_1608Metric                        6.3980    -4.3230  -90.0000  bottom
C30       0.01uF-50V-10%-0603   C_0603_1608Metric                        6.3380    -4.3230  -90.0000  bottom
C31       1.0uF-25V-10%-0603    C_0603_1608Metric                        6.2780    -4.3230  -90.0000  bottom
C32       0.1uF-25V-10%-0603    C_0603_1608Metric                        6.2180    -4.3230  -90.0000  bottom
C33       0.47uF-10V-10%-0603   C_0603_1608Metric                        6.8950    -4.4700  -90.0000  bottom
C34       0.1uF-25V-10%-0603    C_0603_1608Metric                        6.8000    -4.4700  -90.0000  bottom
C35       2.2uF-10V-10%-0603    C_0603_1608Metric                        6.7400    -4.4700  -90.0000  bottom
C36       0.1uF-25V-10%-0603    C_0603_1608Metric                        6.6200    -4.4700  -90.0000  bottom
C37       0.1uF-25V-10%-0603    C_0603_1608Metric                        5.9839    -4.4693  -90.0000  bottom
