### Footprint positions - created on 2024-08-18T08:57:40-0700 ###
### Printed by KiCad version 8.0.4-8.0.4-0~ubuntu22.04.1
## Unit = inches, Angle = deg.
## Side : top
# Ref     Val                  Package                           PosX       PosY       Rot  Side
C1        82uF_35V             CP_Radial_D8.0mm_P3.50mm       10.7500    -3.3380  -90.0000  top
C2        82uF_35V             CP_Radial_D8.0mm_P3.50mm       10.7500    -3.7000  -90.0000  top
C3        0.22uF-10%-50V-0805  C_0805_2012Metric              11.5700    -3.9950  -90.0000  top
C4        10pF-5%-50V-0805     C_0805_2012Metric              11.1890    -4.0160  -90.0000  top
C5        330uF_35V            CP_Radial_D10.0mm_P5.00mm      12.1032    -4.0600  180.0000  top
C6        0.22uF-10%-50V-0805  C_0805_2012Metric              11.2800    -4.1500  180.0000  top
C7        0.01uF-10%-50V-0805  C_0805_2012Metric              11.4200    -4.1500    0.0000  top
C8        22uF-20%-25V-0805    C_0805_2012Metric              11.3800    -4.5300  -90.0000  top
C9        10uF-10%-10V-0805    C_0805_2012Metric              11.5700    -5.3460  -90.0000  top
C10       0.22uF-10%-50V-0805  C_0805_2012Metric              11.3300    -5.3900    0.0000  top
C11       22uF-20%-25V-0805    C_0805_2012Metric              11.4900    -5.5150   90.0000  top
C12       22uF-20%-25V-0805    C_0805_2012Metric              11.5700    -5.5150   90.0000  top
C13       0.22uF-10%-50V-0805  C_0805_2012Metric              11.1800    -5.5900   90.0000  top
D1        STPS20M100SG-TR      TO-263-2                       11.1988    -3.4400  180.0000  top
D2        15V                  D_SOD-123F                     11.6250    -4.5500   90.0000  top
D3        15V                  D_SMB                          11.2300    -4.9100   90.0000  top
D4        PESD1CAN             SOT-23                         11.0130    -5.6864    0.0000  top
D5        PWR                  LED-Dialight-5913001858F        8.9345    -6.1391   90.0000  top
J1        18V_OUT              CONN_69140872_WRE               9.7160    -3.5699   90.0000  top
J2        MIPI                 TE_1-1734248-5                  8.8837    -3.9640   90.0000  top
J3        CAN-NX               70543-0003                     12.8860    -4.4660  -90.0000  top
J4        MIPI                 TE_1-1734248-5                  8.8837    -4.9460   90.0000  top
J5        NX-BUTTON            70543-0005                     12.8860    -5.2660  -90.0000  top
J6        CAN-NX               70555-0001                     11.5280    -5.7990  -90.0000  top
J7        CAN-NX               70555-0001                     11.1290    -5.8000  -90.0000  top
J8        CONSOLE              70555-0002                     11.9750    -5.8000  -90.0000  top
J9        Power                Wurth-691406510002B            10.5410    -5.8412    0.0000  top
J10       HDMI                 SWITCHCRAFT_RAVHD19ETR          9.4959    -5.8467    0.0000  top
J11       HDMI                 SWITCHCRAFT_RAVHD19ETR         10.0949    -5.8467    0.0000  top
L1        4.7_uH-8m-20%        INDUCTOR_IHLE-5050FH-Vishay    11.9352    -3.5100   90.0000  top
L2        2.2uH-20%-46mR       L_Vishay_IHLP-1212             11.7200    -5.3400  -90.0000  top
Q1        CSD16322Q5           TI-SON5x6                      11.4726    -3.7800  180.0000  top
Q2        SI4483ADY-T1-GE3     SOIC-8_3.9x4.9mm_P1.27mm       11.4800    -4.3200  180.0000  top
R1        4.0m-1%-2512         R_2512_6332Metric              11.1900    -3.7500    0.0000  top
R2        14.0k-1%-0805        R_0805_2012Metric              11.0130    -3.9090  180.0000  top
R3        100R-1%-0805         R_0805_2012Metric              11.1531    -3.9090    0.0000  top
R4        59.0k-1%-0805        R_0805_2012Metric              11.6500    -3.9950   90.0000  top
R5        1.05k-1%-0805        R_0805_2012Metric              11.1090    -4.0160   90.0000  top
R6        1.05k-1%-0805        R_0805_2012Metric              11.1400    -4.1500    0.0000  top
R7        1.05k-1%-0805        R_0805_2012Metric              11.4600    -4.5300   90.0000  top
R8        20.0k-1%-0805        R_0805_2012Metric              11.5400    -4.5300  -90.0000  top
R9        4.99k-1%-0805        R_0805_2012Metric               8.9350    -5.9710    0.0000  top
SW1       RESET                SW_TL1105VF100Q_EWI            12.3014    -6.1530    0.0000  top
SW2       RECOVERY             SW_TL1105VF100Q_EWI            12.6814    -6.1530    0.0000  top
U1        LM3478MA             SOIC-8_3.9x4.9mm_P1.27mm       11.3800    -3.9900    0.0000  top
U2        TPS613222ADBVR       SOT-23-5                       11.6826    -5.5180  -90.0000  top
U3        MCP2558FD-H/SN       SOIC-8_3.9x4.9mm_P1.27mm       11.3370    -5.5930  -90.0000  top
## End
