### Footprint positions - created on Sun 04 Feb 2024 10:47:18 AM PST ###
### Printed by KiCad version 7.0.10-7.0.10~ubuntu22.04.1
## Unit = inches, Angle = deg.
## Side : bottom
# Ref     Val                   Package                         PosX       PosY       Rot  Side
C16       0.1uF-10%-50V-0603    C_0603_1608Metric             4.3900    -3.2350  -90.0000  bottom
C17       0.1uF-10%-50V-0603    C_0603_1608Metric             3.2800    -3.2750  -90.0000  bottom
C18       0.1uF-10%-50V-0603    C_0603_1608Metric             3.2200    -3.2750  -90.0000  bottom
C19       0.1uF-10%-50V-0603    C_0603_1608Metric             2.4500    -3.5750  -90.0000  bottom
C20       22uF-10V-10%-0805     C_0805_2012Metric             3.2250    -3.5850  -90.0000  bottom
C21       0.1uF-10%-50V-0603    C_0603_1608Metric             3.1350    -3.5850  -90.0000  bottom
C22       0.1uF-10%-50V-0603    C_0603_1608Metric             4.1850    -3.7000    0.0000  bottom
C23       0.015uF-10%-50V-0603  C_0603_1608Metric             3.6500    -3.7160   90.0000  bottom
C24       0.1uF-10%-50V-0603    C_0603_1608Metric             3.7500    -3.8605  180.0000  bottom
C25       0.1uF-10%-50V-0603    C_0603_1608Metric             4.1850    -3.9050    0.0000  bottom
C26       47pF-5%-50V-0603      C_0603_1608Metric             3.4930    -3.9055    0.0000  bottom
C27       0.1uF-10%-50V-0603    C_0603_1608Metric             3.8850    -3.9205   90.0000  bottom
C28       0.1uF-10%-50V-0603    C_0603_1608Metric             2.4500    -3.9250  -90.0000  bottom
C29       0.1uF-10%-50V-0603    C_0603_1608Metric             3.7500    -3.9530  180.0000  bottom
C31       1.0uF-10%-10V-0603    C_0603_1608Metric             3.6450    -3.9690   90.0000  bottom
C32       22uF-25V-10%-1210     C_1210_3225Metric             4.2100    -4.1900  -90.0000  bottom
C33       22uF-25V-10%-1210     C_1210_3225Metric             4.0800    -4.1900  -90.0000  bottom
C34       22uF-25V-10%-1210     C_1210_3225Metric             3.9500    -4.1900  -90.0000  bottom
C35       22uF-10V-10%-0805     C_0805_2012Metric             3.2600    -4.2200   90.0000  bottom
C36       22uF-10V-10%-0805     C_0805_2012Metric             3.1800    -4.2200   90.0000  bottom
C37       0.1uF-10%-50V-0603    C_0603_1608Metric             2.4500    -4.2750  -90.0000  bottom
C38       22uF-25V-10%-1210     C_1210_3225Metric             4.2070    -4.7670  -90.0000  bottom
C39       0.1uF-10%-50V-0603    C_0603_1608Metric             3.5300    -3.2300  -90.0000  bottom
C40       0.1uF-10%-50V-0603    C_0603_1608Metric             3.4600    -3.2300  -90.0000  bottom
D7        PESD1CAN              SOT-23                        4.6000    -3.9500    0.0000  bottom
R18       499R-1%-0603          R_0603_1608Metric             3.0850    -3.1750  -90.0000  bottom
R19       1.0k-1%-0603          R_0603_1608Metric             4.7101    -3.2000    0.0000  bottom
R20       DNI-0603              R_0603_1608Metric             3.2950    -3.5874  -90.0000  bottom
R21       120R-1%-0805          R_0805_2012Metric             2.9300    -3.6350  -90.0000  bottom
R22       15.8k-1%-0603         R_0603_1608Metric             3.7100    -3.7155   90.0000  bottom
R23       2.00k-1%-0603         R_0603_1608Metric             3.5900    -3.7160  -90.0000  bottom
R24       20.0k-1%-0603         R_0603_1608Metric             3.5300    -3.7155   90.0000  bottom
R25       0R-0603               R_0603_1608Metric             3.4930    -3.8455    0.0000  bottom
R26       10R0-1%-0603          R_0603_1608Metric             3.9450    -3.9205   90.0000  bottom
R27       31.6k-1%-0603         R_0603_1608Metric             3.1250    -3.9450  -90.0000  bottom
R28       10.0k-1%-0603         R_0603_1608Metric             3.0650    -3.9450   90.0000  bottom
R29       100R-1%-0603          R_0603_1608Metric             3.6350    -4.1155    0.0000  bottom
R30       100R-1%-0603          R_0603_1608Metric             3.6350    -4.1755    0.0000  bottom
R31       120R-1%-0805          R_0805_2012Metric             2.6491    -4.5150   90.0000  bottom
U7        MCP2517FDT-H/SL       SOIC-14_3.9x8.7mm_P1.27mm     4.1750    -3.3000   90.0000  bottom
U8        ADM3490ARZ            SO-8_3.9x4.9mm_P1.27mm        2.6000    -3.5750  -90.0000  bottom
U9        ADM3490ARZ            SO-8_3.9x4.9mm_P1.27mm        2.6000    -3.9250  -90.0000  bottom
U10       ADM3490ARZ            SO-8_3.9x4.9mm_P1.27mm        2.6000    -4.2750  -90.0000  bottom
## End
