"Source:","/home/scottberman/Documents/Projects/dev/git/971-electrical/circuit-boards/beambreak/beambreak.kicad_sch"
"Date:","Sat 20 Jan 2024 01:33:56 PM PST"
"Tool:","Eeschema 7.0.10-7.0.10~ubuntu20.04.1"
"Generator:","/usr/share/kicad/plugins/bom_csv_grouped_by_value.py"
"Component Count:","12"

"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","DNP","DIST","DIST P/N","MFG","MFG P/N"
"1","1","C1","0.1uF-25V-0805","Device:C","Capacitor_SMD:C_0805_2012Metric","~","","Digikey","478-KGM21NR71E104KTCT-ND","KYOCERA AVX","KGM21NR71E104KT"
"2","1","D1","12V","Device:LED","LED_SMD:LED_1206_3216Metric","~","","Digikey","492-1945-1-ND","Bivar Inc.","SM1206NPGC-IL"
"3","1","D2","S1D","Device:D","Diode_SMD:D_SMA","~","","Digikey","S1D-FDICT-ND","Diodes Inc","S1D-13-F"
"4","1","D3","DET","Device:LED","LED_SMD:LED_1206_3216Metric","~","","Digikey","492-1945-1-ND","Bivar Inc.","SM1206NPGC-IL"
"5","1","J1","POWER","Connector:Conn_01x02_Male","beambreak:Molex-705550001","~","","Digikey","WM4164-ND","Molex","705550001"
"6","1","J2","SENSOR","Connector:Conn_01x04_Male","beambreak:Molex-705550003","~","","Digikey","WM4166-ND","Molex","705550003"
"7","1","J3","RRIB","Connector:Conn_01x03_Male","beambreak:Molex-705550002","~","","Digikey","WM4165-ND","Molex","705550002"
"8","2","R1, R2","2.0k-1%-0805","Device:R_US","Resistor_SMD:R_0805_2012Metric","~","","Digikey","RNCP0805FTD2K00CT-ND","Stackpole Electronics","RNCP0805FTD2K00"
"9","1","R3","1.0k-1%-0805","Device:R_US","Resistor_SMD:R_0805_2012Metric","~","","Digikey","RNCP0805FTD1K00CT-ND","Stackpole Electronics","RNCP0805FTD1K00"
"10","1","R4","390R-1%-1206","Device:R_US","Resistor_SMD:R_1206_3216Metric","~","","Digikey","RMCF1206FT390RCT-ND","Stackpole Electronics","RMCF1206FT390R"
"11","1","U1","H11L1SM","Isolator:H11L1","Package_DIP:SMDIP-6_W9.53mm","https://www.onsemi.com/pub/Collateral/H11L3M-D.PDF","","Digikey","H11L1SM-ND","onsemi","H11L1SM"
