Item, Qty, Reference(s), Value, DIST, DIST P/N, MFG, MFG P/N, 
"1","2","H1,H2","MountingHole","","","",""
"2","37","J1,J2,J3,J4,J5,J6,J7,J8,J9,J10,J11,J12,J13,J14,J37,J38,J39,J40,J41,J42,J43,J44,J45,J46,J47,J48,J57,J58,J59,J60,J61,J62,J63,J64,J65,J66,J78","DIO0,DIO1,DIO2,DIO3,DIO4,DIO5,DIO6,DIO7,DIO8,DIO9,DIO22,DIO23,DIO24,DIO25,RLY0,RLY1,RLY2,RLY3,AIN0,AIN1,AIN2,AIN3,AIN4,AIN5,AIN6,AIN7,PWM0,PWM1,PWM2,PWM3,PWM4,PWM5,PWM6,PWM7,PWM8,PWM9,RS232","Digikey","WM7991-ND","Molex","070541-0002"
"3","29","J15,J16,J17,J18,J19,J20,J21,J22,J23,J24,J49,J50,J51,J52,J53,J54,J55,J56,J67,J68,J69,J70,J71,J72,J73,J74,J75,J76,J85","RR_DIO0,RR_DIO1,RR_DIO2,RR_DIO3,RR_DIO4,RR_DIO5,RR_DIO6,RR_DIO7,RR_DIO8,RR_DIO9,RR_RELAY0,RR_RELAY1,RR_RELAY2,RR_RELAY3,RR_AIN0,RR_AIN1,RR_AIN2,RR_AIN3,RR_PWM0,RR_PWM1,RR_PWM2,RR_PWM3,RR_PWM4,RR_PWM5,RR_PWM6,RR_PWM7,RR_PWM8,RR_PWM9,RR_RS-232","Digikey","S7001-ND","Sullins Connector Solutions","PPTC031LFBN-RC"
"4","7","J25,J26,J27,J28,J29,J30,J79","ENC0,ENC1,ENC2,ENC3,ENC4,ENC5,I2C","Digikey","WM7992-ND","Molex","070541-0003"
"5","6","J31,J32,J33,J34,J35,J36","ENC_AD0,ENC_AD1,ENC_AD2,ENC_AD3,ENC_AD4,ENC_AD5","Digikey","WM20413-ND","Molex","070541-0005"
"6","1","J77","RSL","Digikey","WM14047-ND","MOLEX","070541-0001"
"7","4","J80,J81,J82,J83","SPI0,SPI1,SPI2,SPI3","Digikey","0705410006-ND","MOLEX","070541-0006"
"8","1","J84","RR_RSL","Digikey","S7000-ND","Sullins Connector Solutions","PPTC021LFBN-RC"
"9","1","J86","RR_I2C","Digikey","S7002-ND","Sullins Connector Solutions","PPTC041LFBN-RC"
"10","1","J87","RR_MXP","Digikey","S9199-ND","Sullins Connector Solutions","SFH11-PBPC-D17-ST-BK"
"11","1","J88","RR_SPI","Digikey","S9194-ND","Sullins Connector Solutions","SFH11-PBPC-D05-ST-BK"
