### Footprint positions - created on Sun 21 Jan 2024 09:53:35 AM PST ###
### Printed by KiCad version 7.0.10-7.0.10~ubuntu22.04.1
## Unit = inches, Angle = deg.
## Side : top
# Ref     Val       Package                PosX       PosY       Rot  Side
J1        DIO0      70541-0002           3.9750    -4.8000    0.0000  top
J2        DIO1      70541-0002           3.9750    -5.1000    0.0000  top
J3        DIO2      70541-0002           3.9750    -5.4000    0.0000  top
J4        DIO3      70541-0002           3.9750    -5.7000    0.0000  top
J5        DIO4      70541-0002           3.9750    -6.0000    0.0000  top
J6        DIO5      70541-0002           3.9750    -6.3000    0.0000  top
J7        DIO6      70541-0002           3.9750    -6.6000    0.0000  top
J8        DIO7      70541-0002           3.9750    -6.9000    0.0000  top
J9        DIO8      70541-0002           3.9750    -7.2000    0.0000  top
J10       DIO9      70541-0002           3.9750    -7.5000    0.0000  top
J11       DIO22     70541-0002           4.8250    -6.3000    0.0000  top
J12       DIO23     70541-0002           4.8250    -6.6000    0.0000  top
J13       DIO24     70541-0002           4.8250    -6.9000    0.0000  top
J14       DIO25     70541-0002           4.8250    -7.2000    0.0000  top
J25       ENC0      70541-0003           6.0750    -4.5000    0.0000  top
J26       ENC1      70541-0003           6.0750    -4.8000    0.0000  top
J27       ENC2      70541-0003           6.0750    -5.1000    0.0000  top
J28       ENC3      70541-0003           6.0750    -5.3950    0.0000  top
J29       ENC4      70541-0003           6.0750    -5.6950    0.0000  top
J30       ENC5      70541-0003           6.0750    -5.9950    0.0000  top
J31       ENC_AD0   70541-0005           5.1250    -4.5000    0.0000  top
J32       ENC_AD1   70541-0005           5.1250    -4.8000    0.0000  top
J33       ENC_AD2   70541-0005           5.1250    -5.1000    0.0000  top
J34       ENC_AD3   70541-0005           5.1250    -5.4000    0.0000  top
J35       ENC_AD4   70541-0005           5.1250    -5.7000    0.0000  top
J36       ENC_AD5   70541-0005           5.1250    -6.0000    0.0000  top
J37       RLY0      70541-0002           4.8261    -7.5853   90.0000  top
J38       RLY1      70541-0002           5.1261    -7.5853   90.0000  top
J39       RLY2      70541-0002           5.4261    -7.5853   90.0000  top
J40       RLY3      70541-0002           5.7261    -7.5853   90.0000  top
J41       AIN0      70541-0002           6.5250    -7.0250    0.0000  top
J42       AIN1      70541-0002           6.5250    -7.3250    0.0000  top
J43       AIN2      70541-0002           6.5250    -7.6250    0.0000  top
J44       AIN3      70541-0002           7.3750    -6.4250    0.0000  top
J45       AIN4      70541-0002           7.3750    -6.7250    0.0000  top
J46       AIN5      70541-0002           7.3750    -7.0250    0.0000  top
J47       AIN6      70541-0002           7.3750    -7.3250    0.0000  top
J48       AIN7      70541-0002           7.3750    -7.6250    0.0000  top
J57       PWM0      70541-0002           8.1500    -4.9200    0.0000  top
J58       PWM1      70541-0002           8.1500    -5.2250    0.0000  top
J59       PWM2      70541-0002           8.1500    -5.5250    0.0000  top
J60       PWM3      70541-0002           8.1500    -5.8250    0.0000  top
J61       PWM4      70541-0002           8.1500    -6.1250    0.0000  top
J62       PWM5      70541-0002           8.1500    -6.4250    0.0000  top
J63       PWM6      70541-0002           8.1500    -6.7250    0.0000  top
J64       PWM7      70541-0002           8.1500    -7.0250    0.0000  top
J65       PWM8      70541-0002           8.1500    -7.3250    0.0000  top
J66       PWM9      70541-0002           8.1500    -7.6250    0.0000  top
J77       RSL       70541-0001           4.3761    -7.6853  -90.0000  top
J78       RS232     70541-0002           3.9750    -4.3500    0.0000  top
J79       I2C       70541-0003           4.5850    -4.0050    0.0000  top
J80       SPI0      70541-0006           7.4000    -4.5050    0.0000  top
J81       SPI1      70541-0006           7.4000    -4.8050    0.0000  top
J82       SPI2      70541-0006           7.4000    -5.1050    0.0000  top
J83       SPI3      70541-0006           7.4000    -5.4050    0.0000  top
## End
