### Footprint positions - created on 2024-06-29T17:00:54-0700 ###
### Printed by KiCad version 8.0.3-8.0.3-0~ubuntu22.04.1
## Unit = inches, Angle = deg.
## Side : bottom
# Ref     Val                 Package                        PosX       PosY       Rot  Side
C6        1nF-50V-10%-0603    C_0603_1608Metric            5.2000    -2.5300    0.0000  bottom
C7        1nF-50V-10%-0603    C_0603_1608Metric            4.9000    -2.5300    0.0000  bottom
C8        1nF-50V-10%-0603    C_0603_1608Metric            4.6000    -2.5300    0.0000  bottom
C9        1nF-50V-10%-0603    C_0603_1608Metric            4.3000    -2.5300    0.0000  bottom
C10       1nF-50V-10%-0603    C_0603_1608Metric            4.0005    -2.5300    0.0000  bottom
C11       1nF-50V-10%-0603    C_0603_1608Metric            3.7000    -2.5300    0.0000  bottom
C12       1nF-50V-10%-0603    C_0603_1608Metric            3.4000    -2.5300    0.0000  bottom
C13       1nF-50V-10%-0603    C_0603_1608Metric            3.1000    -2.5300    0.0000  bottom
C14       1nF-50V-10%-0603    C_0603_1608Metric            2.8000    -2.5300    0.0000  bottom
C15       1nF-50V-10%-0603    C_0603_1608Metric            2.5000    -2.5300    0.0000  bottom
C16       0.1uF-10%-50V-0603  C_0603_1608Metric            2.5000    -2.7700   90.0000  bottom
C17       0.1uF-10%-50V-0603  C_0603_1608Metric            2.4100    -2.7700   90.0000  bottom
C18       0.1uF-10%-50V-0603  C_0603_1608Metric            3.6000    -3.0050    0.0000  bottom
C19       0.1uF-10%-50V-0603  C_0603_1608Metric            4.4150    -3.0150    0.0000  bottom
C20       0.1uF-10%-50V-0603  C_0603_1608Metric            3.1800    -3.0395  -90.0000  bottom
C21       22uF-10V-10%-0805   C_0805_2012Metric            2.6400    -3.1050    0.0000  bottom
C22       3.3nF-50V-10%-0603  C_0603_1608Metric            2.8700    -3.2350    0.0000  bottom
C23       1uF-25V-10%-0805    C_0805_2012Metric            2.8800    -3.3350    0.0000  bottom
C24       1nF-50V-10%-0603    C_0603_1608Metric            5.7900    -3.6700  -90.0000  bottom
C25       0.1uF-10%-50V-0603  C_0603_1608Metric            2.7050    -3.7700   90.0000  bottom
C26       1nF-50V-10%-0603    C_0603_1608Metric            5.4000    -3.8700  180.0000  bottom
C27       1nF-50V-10%-0603    C_0603_1608Metric            5.1000    -3.8700  180.0000  bottom
C28       1nF-50V-10%-0603    C_0603_1608Metric            4.8000    -3.8700  180.0000  bottom
C29       1nF-50V-10%-0603    C_0603_1608Metric            4.5000    -3.8700  180.0000  bottom
C30       1nF-50V-10%-0603    C_0603_1608Metric            4.2000    -3.8700  180.0000  bottom
C31       1nF-50V-10%-0603    C_0603_1608Metric            3.9000    -3.8700  180.0000  bottom
C32       1nF-50V-10%-0603    C_0603_1608Metric            3.6000    -3.8700  180.0000  bottom
C33       1nF-50V-10%-0603    C_0603_1608Metric            3.3000    -3.8700  180.0000  bottom
C34       1nF-50V-10%-0603    C_0603_1608Metric            3.0100    -3.8700  180.0000  bottom
D32       BAV99               SOT-23                       5.6250    -2.7800    0.0000  bottom
D33       BAV99               SOT-23                       5.3500    -2.8500    0.0000  bottom
D34       BAV99               SOT-23                       5.3500    -2.9900  180.0000  bottom
D35       NSR05T40XV2T5G      D_SOD-523                    2.4400    -3.0500  180.0000  bottom
D36       NSR05T40XV2T5G      D_SOD-523                    2.3050    -3.0500    0.0000  bottom
D37       NSR05T40XV2T5G      D_SOD-523                    2.1600    -3.0500  180.0000  bottom
D38       BAV99               SOT-23                       5.6231    -3.1526    0.0000  bottom
D39       BAV99               SOT-23                       5.3350    -3.3850  180.0000  bottom
D40       15V                 D_SOD-123F                   2.3500    -3.3750    0.0000  bottom
D41       BAV99               SOT-23                       5.3350    -3.5200    0.0000  bottom
Q1        SI4483ADY-T1-GE3    SOIC-8_3.9x4.9mm_P1.27mm     2.2900    -3.2200  180.0000  bottom
R9        3.0k-1%-0603        R_0603_1608Metric            5.2000    -2.5900  180.0000  bottom
R10       3.0k-1%-0603        R_0603_1608Metric            4.9000    -2.5900  180.0000  bottom
R11       3.0k-1%-0603        R_0603_1608Metric            4.6000    -2.5900  180.0000  bottom
R12       3.0k-1%-0603        R_0603_1608Metric            4.3000    -2.5900  180.0000  bottom
R13       3.0k-1%-0603        R_0603_1608Metric            4.0000    -2.5900  180.0000  bottom
R14       3.0k-1%-0603        R_0603_1608Metric            3.7000    -2.5900  180.0000  bottom
R15       3.0k-1%-0603        R_0603_1608Metric            3.4000    -2.5900  180.0000  bottom
R16       3.0k-1%-0603        R_0603_1608Metric            3.1000    -2.5900  180.0000  bottom
R17       3.0k-1%-0603        R_0603_1608Metric            2.8000    -2.5900  180.0000  bottom
R18       3.0k-1%-0603        R_0603_1608Metric            2.5000    -2.5900  180.0000  bottom
R19       4.99k-1%-0603       R_0603_1608Metric            5.2000    -2.6500    0.0000  bottom
R20       4.99k-1%-0603       R_0603_1608Metric            4.9000    -2.6500    0.0000  bottom
R21       4.99k-1%-0603       R_0603_1608Metric            4.6000    -2.6500    0.0000  bottom
R22       4.99k-1%-0603       R_0603_1608Metric            4.3000    -2.6500    0.0000  bottom
R23       4.99k-1%-0603       R_0603_1608Metric            4.0000    -2.6500    0.0000  bottom
R24       4.99k-1%-0603       R_0603_1608Metric            3.7000    -2.6500    0.0000  bottom
R25       4.99k-1%-0603       R_0603_1608Metric            3.4000    -2.6500    0.0000  bottom
R26       4.99k-1%-0603       R_0603_1608Metric            3.1000    -2.6500    0.0000  bottom
R27       4.99k-1%-0603       R_0603_1608Metric            2.8000    -2.6500    0.0000  bottom
R28       4.99k-1%-0603       R_0603_1608Metric            2.5000    -2.6500    0.0000  bottom
R29       4.99k-1%-0603       R_0603_1608Metric            3.6000    -2.7450   90.0000  bottom
R30       10.0k-1%-0603       R_0603_1608Metric            2.5700    -2.7700   90.0000  bottom
R31       10.0k-1%-0603       R_0603_1608Metric            2.3400    -2.7700   90.0000  bottom
R32       20.0k-1%-0603       R_0603_1608Metric            3.4450    -3.0050  180.0000  bottom
R33       10.0k-1%-0603       R_0603_1608Metric            3.3000    -3.0400  -90.0000  bottom
R34       100k-1%-0603        R_0603_1608Metric            3.2400    -3.0400  -90.0000  bottom
R35       10.0k-1%-0603       R_0603_1608Metric            4.4150    -3.0750    0.0000  bottom
R36       1.00k-1%-0603       R_0603_1608Metric            2.5575    -3.4000  180.0000  bottom
R37       20.0k-1%-0603       R_0603_1608Metric            2.2000    -3.3750    0.0000  bottom
R38       3.0k-1%-0603        R_0603_1608Metric            5.7300    -3.6700   90.0000  bottom
R39       4.99k-1%-0603       R_0603_1608Metric            5.6700    -3.6700  -90.0000  bottom
R40       4.99k-1%-0603       R_0603_1608Metric            5.4000    -3.7500  180.0000  bottom
R41       4.99k-1%-0603       R_0603_1608Metric            5.1000    -3.7500  180.0000  bottom
R42       4.99k-1%-0603       R_0603_1608Metric            4.8000    -3.7500  180.0000  bottom
R43       4.99k-1%-0603       R_0603_1608Metric            4.4995    -3.7500  180.0000  bottom
R44       4.99k-1%-0603       R_0603_1608Metric            4.2000    -3.7500  180.0000  bottom
R45       4.99k-1%-0603       R_0603_1608Metric            3.9000    -3.7500  180.0000  bottom
R46       4.99k-1%-0603       R_0603_1608Metric            3.6000    -3.7500  180.0000  bottom
R47       4.99k-1%-0603       R_0603_1608Metric            3.3000    -3.7500  180.0000  bottom
R48       4.99k-1%-0603       R_0603_1608Metric            3.0100    -3.7500  180.0000  bottom
R49       3.0k-1%-0603        R_0603_1608Metric            5.4000    -3.8100    0.0000  bottom
R50       3.0k-1%-0603        R_0603_1608Metric            5.1000    -3.8100    0.0000  bottom
R51       3.0k-1%-0603        R_0603_1608Metric            4.8000    -3.8100    0.0000  bottom
R52       3.0k-1%-0603        R_0603_1608Metric            4.5000    -3.8100    0.0000  bottom
R53       3.0k-1%-0603        R_0603_1608Metric            4.2000    -3.8100    0.0000  bottom
R54       3.0k-1%-0603        R_0603_1608Metric            3.9000    -3.8100    0.0000  bottom
R55       3.0k-1%-0603        R_0603_1608Metric            3.6000    -3.8100    0.0000  bottom
R56       3.0k-1%-0603        R_0603_1608Metric            3.3000    -3.8100    0.0000  bottom
R57       3.0k-1%-0603        R_0603_1608Metric            3.0100    -3.8100    0.0000  bottom
U2        MCP1727-3302E/SN    SOIC-8_3.9x4.9mm_P1.27mm     2.6450    -3.2600    0.0000  bottom
U3        MCP2542FD-E/SN      SO-8_3.9x4.9mm_P1.27mm       2.5500    -3.7100  -90.0000  bottom
## End
