"Item","QUANTITY","Reference","Value","MFG","MFG P/N","DIST","DIST P/N"
"1","3","C1-C3","1uF-10%-25V-0603","Kyocera","06033C105KAT2A","Digikey","478-10046-1-ND"
"2","1","D1","NRVB120VLSFT1G","onsemi","NRVB120VLSFT1G","Digikey","NRVB120VLSFT1GOSCT-ND"
"3","2","D2,D3","-- mixed values --","Wurth Electronik","150060RS75000","Digikey","732-4978-1-ND"
"4","2","D4,D5","-- mixed values --","Wurth Electronik","150060GS75000","Digikey","732-4971-1-ND"
"5","1","J2","0015912055","Molex","0015912055","Digikey","WM1343-ND"
"6","4","R1,R5-R7","1.00k-1%-0603","YAGEO","RC0603FR-071KL","Digikey","311-1.00KHRCT-ND"
"7","3","R2-R4","100R-1%-0603","YAGEO","RC0603FR-07100RL","Digikey","311-100HRCT-ND"
"8","1","U1","SN74LVC1G02DBVR","Texas Instruments","SN74LVC1G02DBVR","Digikey","296-11597-1-ND"
"9","1","U2","AP2120N-3.3TRG1","Diodes Inc","AP2120N-3.3TRG1","Digikey","AP2120N-3.3TRG1DICT-ND"
"10","1","U3","MA732GQ","Monolithic Power Systems","MA732GQ-Z","Digikey","1589-MA732GQ-ZCT-ND"
