"Item","QUANTITY","Reference","Value","MFG","MFG P/N","DIST","DIST P/N"
"1","5","C1-C5","1uF-10%-25V-0603","Kyocera","06033C105KAT2A","Digikey","478-10046-1-ND"
"2","1","D1","ON","Wurth Electronik","150060YS75000","Digikey","732-4981-1-ND"
"3","1","D3","OK","Wurth Electronik","150060VS75000","Digikey","732-4980-1-ND"
"4","1","D5","MMSD4148T1G","onsemi","MMSD4148T1G","Digikey","MMSD4148T1GOSCT-ND"
"5","2","D2,D4","-- mixed values --","Wurth Electronik","150060RS75000","Digikey","732-4978-1-ND"
"6","1","J2","0015912055","Molex","0015912055","Digikey","WM1343-ND"
"7","3","R1-R3","100R-1%-0603","YAGEO","RC0603FR-07100RL","Digikey","311-100HRCT-ND"
"8","5","R4-R8","1.00k-1%-0603","YAGEO","RC0603FR-071KL","Digikey","311-1.00KHRCT-ND"
"9","1","U1","AP2120N-3.3TRG1","Diodes Inc","AP2120N-3.3TRG1","Digikey","AP2120N-3.3TRG1DICT-ND"
"10","1","U2","SN74LVC7032ABQAR","Texas Instruments","SN74LVC7032ABQAR","Digikey","296-SN74LVC7032ABQARCT-ND"
"11","1","U3","MA732GQ","Monolithic Power Systems","MA732GQ-Z","Digikey","1589-MA732GQ-ZCT-ND"
